Rank;Name;Central Mechanisms;Turn Order;Game End Condition;Duration;Theme;Player Amount;Cooperative;Complexity;Interactivity;Relative Rating;Change Rel. Rating;Rank Count;BGG Rating;My Rating;Author(s);Year Of Release;Similar Games;Played With;Play Count;Game Material
449;Take 5;hand management/score and reset/simultaneous action selection;simultaneous;overshooting;15;abstract;2-10 (5);;1;1;2.84;-0.02;16;7;4;Wolfgang Kramer;1994;;own;60;cards
463;61 Feuilles d'automne;bingo/paper and pencil/race/roll and write;simultaneous;race;20;autumn/abstract;2-10 (4);;1;1;2.83;-0.57;2;6.5;5;Theo Riviere;2022;;bga;2;
376;Concept;deduction/communication limits/give a clue, get a clue;strict clockwise;fixed turns;40;abstract;4-12 (6);;1;4;2.83;0.06;16;6.8;4;Gaetan Beacujannot/Alain Rivollet;2013;;bga;1;
430;ito;0;0;0;0;0;0;0;0;0;2.81;0;1;0;0;0;0;0;0;0;0
431;Komm zum Punkt;0;0;0;0;0;0;0;0;0;2.8;0;1;0;0;0;0;0;0;0;0
435;Mysterium;communication limits/deduction/finale ending/give a clue, get a clue/hand management/image interpretation/pattern recognition/storytelling/voting;simultaneous;fixed turns;45;detectives;2-7 (6);;2;4;2.79;-0.0;16;7.2;4;Oleksandr Nevskiy/Oleg Sidorenko;2015;;Philipp F.;1;
469;Battle Sheep;enclosure/grid movement/hex grid/modular board;strict clockwise;condition;15;sheep/abstract;2-4 (4);;1;4;2.77;-0.61;2;6.6;5;Francesco Rotta;2010;;bga;3;
462;Jurassic Snack;grid movement/square grid;strict clockwise;condition;15;dinosaur/abstract;2;;1;3;2.77;-0.5;2;6.5;5;Bruno Cathala;2018;;bga;1;
434;Collect!;0;0;0;0;0;0;0;0;0;2.75;0;1;0;0;0;0;0;0;0;0
511;Line-it;closed drafting/contracts/ordering;progressive;condition;20;abstract;2-4 (2);;1;1;2.73;-0.13;11;5.8;4;Tim Juretzki;2023;;bga;3;
429;Ubongo;grid coverage/pattern building/real time/set collection;simultaneous;fixed turns;25;abstract;2-4 (4);;1;1;2.73;0.05;3;6.7;4;Grzegorz Rejchtman;2003;;bga;1;
467;Stadt/Land/Fluss;paper and pencil;simultaneous;fixed turns;15;abstract;2+ (6);;1;2;2.71;-0.04;13;5.3;4;unknown;1950;;diverse;50;writing sheet/pens
466;BANG! The Dice Game;hidden roles/kill steal/player elimination/push your luck/re-rolling and locking/take that/variable player powers;strict clockwise;player elimination;15;wildwest;3-8 (7);T;1;4;2.7;-0.03;16;6.5;4;Michael Palm/Lukas Zach;2013;;Calvin;1;custom D6/tokens/cards
439;Super Mega Lucky Box;bingo/flip and write/paper and pencil/pattern building;simultaneous;fixed turns;15;casino;1-6 (4);;1;1;2.7;-0.0;16;7.1;4;Phil Walker-Harding;2021;;bga;10;player boards/cards/tokens
437;20 Questions;0;0;0;0;0;0;0;0;0;2.7;0;1;0;0;0;0;0;0;0;0
442;Mountain Goats;king of the hill/random move/set collection/track movement;strict clockwise;condition;20;animals/goats;2-4 (4);;1;2;2.69;-0.01;12;6.8;4;Stefan Risthaus;2010;;bga;5;
460;SETUP;connection/hand management/set collection/tile placement;strict clockwise;race;25;abstract;2-4 (4);(T);1;2;2.68;-0.36;2;6.1;4;Jacob Berg;2023;;bga;4;board/tiles
457;Make 'n' Break;dexterity/pattern building/stacking and balancing;strict clockwise;race;30;abstract;2-4 (2);;1;1;2.68;-0.02;16;6;4;Jack Lawson/Andrew Lawson;2004;;own;5;building bricks
438;Cat Cafe;0;0;0;0;0;0;0;0;0;2.68;0;1;0;0;0;0;0;0;0;0
537;Skull;auction/bids as wager/bluffing/hand management/player elimination;pass order;race/player elimination;20;abstract;3-6 (6);;1;3;2.66;-0.11;16;7.2;4;Herve Marly;2011;;Philipp F.;10;cards
391;Piraten Kapern;push your luck/re-rolling and locking/set collection;strict clockwise;race;20;pirates;2-5 (3);;1;1;2.62;0.07;14;6.3;4;Haim Shafir;2012;;bga;2;custom D6
399;Ligretto;ordering/pattern building/real time/speed matching;simultaneous;fixed turns;10;abstract;2-4 (4);;1;3;2.61;0.05;16;6.2;4;Michael Michaels;1988;;own;10;cards
417;Spots;action drafting/contracts/push your luck/re-rolling and locking/set collection/variable set-up;strict clockwise;race;25;dogs;2-4 (2);;1;1;2.58;0.04;11;7.2;3;Alex Hague/Jon Perry/Justin Vickers;2022;;bga;3;
425;Similo;communication limits/deduction/score and reset game/voting;simultaneous;condition;15;abstract;2-6 (3);C;1;4;2.58;0.32;2;6.8;3;Martino Chiacchiera/Hjalmar Hach/Pierluca Zizzi;2019;;bga;3;cards
505;Abalone;grid movement/hex grid/slide/static capture;strict clockwise;;30;abstract;2;;1;3;2.57;-0.07;16;6.5;4;Michel Lalet/Laurent Levi;1987;;own;5;board/marbles
475;Fairy Trails;map addition/network and route building/race/tile placement;strict clockwise;race;20;elves;2;;1;2;2.56;-0.25;3;6.1;5;Uwe Rosenberg;2020;;bga;1;
445;Carla Cat;dexterity/pattern recognition;strict clockwise;fixed turns;15;abstract;4-8 (5);1 vs. X;1;3;2.55;0.0;14;5.7;4;Susanne Kummer;1955;;diverse;20;tokens on string/cup/D6
474;Flaming Pyramids;hand management/push your luck/race/take that/tile placement;strict clockwise;race;15;abstract;2-6 (4);;1;3;2.54;-0.12;5;5.3;4;Norbert Abel;2018;;bga;3;
483;BANG!;hand management/hidden roles/hot potato/kill steal/player elimination/take that/variable player powers;strict clockwise;player elimination;40;wildwest;4-7 (7);T;1;4;2.54;-0.04;16;6.5;4;Emiliano Sciarra;2002;;Guenter;5;cards/tokens
448;Ipso;0;0;0;0;0;0;0;0;0;2.51;0;1;0;0;0;0;0;0;0;0
432;Belratti;communication limits;simultaneous;fixed turns;25;art;3-7 (6);C;1;3;2.46;0.05;7;7.1;3;Michael Loth;2018;;uni game night;1;
455;Knister;bingo/roll and write;simultaneous;fixed turns;10;abstract;1-5 (4);;1;1;2.45;-0.01;10;6.3;3;Heinz Wuppen;2007;;bga;2;
470;Farkle;paper and pencil/push your luck/re-rolling and locking/set collection;strict clockwise;race;20;abstract;2+ (2);;1;1;2.44;-0.02;16;5.6;3;unknown;1930;;own;700;D6
488;Diced Veggies;contracts/hand management/open drafting/set collection/tags;strict clockwise;condition;30;food;2-4 (3);;1;1;2.42;-0.14;5;7;4;Josh Cappel/Jory Cappel/Rowan Cappel;2023;;bga;3;
468;Ptit Pois;hand management/push your luck;strict clockwise;running out;15;abstract;2-6 (3);;1;2;2.38;-0.05;5;6.1;3;Thomas Favreliere/Alex Fortineau/Simon Moulard;2025;;bga;3;
492;Martian Dice;push your luck/re-rolling and locking/set collection;progressive;race;10;sciencefiction;2+ (3);;1;1;2.35;-0.04;16;6.1;3;Scott Almes;2011;;bga;8;custom D6
546;Schrdinger's Cats;bluffing/once per game abilities/player elimination;stat based;player elimination;15;cats;2-6 (3);;1;3;2.34;-0.1;16;5.8;3;Heather O'Neill/Christopher O'Neill/Adriel Wilson;2015;;Mika;8;board/cards
506;SET;pattern recognition/real time/speed matching;simultaneous;running out;30;abstract;2+ (3);;1;2;2.33;-0.05;16;6.5;3;Marsha J. Falco;1988;;own;15;cards
444;Checkers;grid movement/pattern movement/square grid/static capture;;player elimination;15;abstract;2;;2;3;2.33;0.02;16;4.9;3;unknown;1150;;diverse;25;board/tokens
473;Shifting Stones;contracts/grid movement/hand management/pattern building/pattern recognition/square grid;strict clockwise;condition;20;abstract;1-4 (2);;1;3;2.3;-0.02;13;6.5;3;J. Evan Raitt;2020;;bga;5;board/tiles/cards
421;Splitter;pattern building/roll and write;simultaneous;fixed turns;10;abstract;2+ (2);;1;1;2.3;0.08;9;6.3;3;Stefan Nikolic;2021;;bga;3;
461;Tally Up;0;0;0;0;0;0;0;0;0;2.29;0;1;0;0;0;0;0;0;0;0
412;Wavelength;targeted clues;strict clockwise;race;45;abstract;4-12 (6);T;1;4;2.28;0.12;8;7.2;3;Alex Hague/Wolfgang Warsch/Justin Vickers;2019;;Simon;5;
465;Backgammon;betting/random move/score and reset/static capture/track movement;strict clockwise;race;15;abstract;2;;1;2;2.25;-0.0;16;6.6;3;unknown;-3000;;own;200;board/meeple/D6
447;Quantik;pattern building/square grid;strict clockwise;;20;abstract;2;;1;2;2.25;0.02;14;6;3;Nouri Khalifa;2019;;bga;1;player boards/tokens
416;Yahtzee;paper and pencil/push your luck/re-rolling and locking/set collection;strict clockwise;completion;20;abstract;2+ (2);;1;1;2.23;0.05;16;5.5;3;Edwin S. Lowe;1956;;diverse;1500;D6/writing sheet/pencil
482;Strike;player elimination/push your luck;strict clockwise;player elimination;10;abstract;2-5 (4);;1;1;2.22;-0.02;16;7;3;Dieter Nussle;2012;;uni game night;8;D6/game box
415;Hues and Cues;communication limits/deduction/give a clue, get a clue/score and reset/targeted clues;progressive;fixed turns;30;abstract;3-10 (7);;1;3;2.2;0.1;10;6.6;3;Scott Brady;2020;;Jannis;1;
582;DOG;hand management/movement points/take that/track movement;progressive;race;45;abstract;2-6 (4);;1;2;2.15;-0.13;16;6.3;3;unknown;1997;Black DOG/Agent DOG;uni game night;3;board/meeple/cards
490;Spot it!;pattern recognition/hot potato/speed matching;simultaneous;running out;15;abstract;2+ (3);;1;2;2.15;-0.02;16;6.6;3;Denis Blanchot/Jacques Cottereau/Guillaume Gille-Naves/Igor Polouchine;2009;;Mika;3;cards
495;Oxono;pattern building/square grid;strict clockwise;;15;abstract;2;;1;3;2.14;-0.03;14;6.2;3;Jeremy Partinico;2024;;bga;4;board/tiles
450;GOLD;memory;strict clockwise;condition;10;wildwest;2-5 (3);;1;3;2.14;0.04;9;6.7;3;Reiner Knizia;2020;;Mika;10;
485;Bandido;network and route building/tile placement;strict clockwise;running out;10;criminals;1-4 (2);C;1;2;2.13;-0.03;10;6.4;3;Martin Nedergaard Andersen;2016;;bga;1;
524;Blackjack;betting/gambling/push your luck;simultaneous;fixed turns;10;abstract;2-10 (4);;1;1;2.12;-0.07;14;4.8;3;unknown;1700;;diverse;50;english deck (2 to A)/currency
504;Can't Stop Express;roll and write;simultaneous;condition;30;abstract;2+ (2);;1;1;2.06;-0.03;15;6.1;3;Sid Sackson;1989;;bga;11;D6/writing sheet/pencil
520;Bunny Drops;open drafting/race/square grid;strict clockwise;race;15;bunnies;2-4 (2);;1;2;2.05;-0.37;3;5;3;Megan Staley;2024;;bga;1;cards
512;DIG UP Adventure;pattern building/race/take that;strict clockwise;condition;20;mine;2-4 (3);;1;3;2.04;-0.6;2;5.2;4;Babel Dread;2022;;bga;2;
476;Dice Mission;0;0;0;0;0;0;0;0;0;2.04;0;1;0;0;0;0;0;0;0;0
477;Castles of Caleira;0;0;0;0;0;0;0;0;0;2.03;0;1;0;0;0;0;0;0;0;0
525;Golfie;matching/simultaneous action selection;strict clockwise;fixed turns;15;golf;1-8 (2);;1;1;2.02;-0.26;4;6.3;3;Jimmy Dorion;2024;;bga;5;
494;Perudo;bluffing/player elimination;stat based;player elimination;15;abstract;2-6 (6);;1;3;2.01;-0.02;14;6.9;3;unknown;1800;;diverse;3;D6
478;Crisps!;0;0;0;0;0;0;0;0;0;2.01;0;1;0;0;0;0;0;0;0;0
578;Fractal;hex grid/pattern building/pattern recognition/tile placement;strict clockwise;sudden death;45;abstract;2;;1;3;1.99;-0.12;15;5.1;3;Mark Steere;2010;;bga;1;board/tiles
479;Pyramid Poker;0;0;0;0;0;0;0;0;0;1.99;0;1;0;0;0;0;0;0;0;0
531;Mia;bluffing/player elimination;strict clockwise;player elimination;20;abstract;2+ (6);;1;4;1.98;-0.06;16;5.9;3;unknown;600;;diverse;35;D6
454;Nanatoridori;hand management/ladder climbing/player elimination/single loser;stat based;player elimination;10;birds;2-6 (4);;1;1;1.98;0.05;10;6.8;3;Toshiki Arao;2023;;bga;5;
517;Blitz;hand management/memory/player elimination/set collection;stat based;player elimination;30;abstract;3-10 (5);;1;2;1.97;-0.04;16;5.5;3;unknown;1900;;diverse;20;french deck (7 to A)
498;Slide;set collection/slide;progressive;completion;15;abstract;2-6 (5);;1;1;1.96;-0.03;11;6.1;3;Claude Clement;2024;;bga;8;
422;Trio;matching/memory/question and answers/set collection;strict clockwise;race;15;abstract;2-5 (4);;1;2;1.96;0.07;16;7.3;3;Kaya Miyano;2021;;Stefan;10;cards
522;Booty Dice;die icon resolution/king of the hill/player elimination/push your luck/race/re-rolling and locking;strict clockwise;player elimination/race;20;pirates;3-6 (4);;1;2;1.92;-0.32;3;5.9;3;Eric Olsen;2023;;bga;5;
545;Tic Tac Match;matching/pattern building;strict clockwise;;5;abstract;2/4 (2);;1;2;1.92;-0.1;11;4.4;3;Larry Ashlock;2020;;bga;2;
451;Halli Galli;pattern recognition/player elimination;simultaneous;player elimination;10;food/abstract;2-4 (2);;1;3;1.88;0.04;16;5.8;3;Haim Shafir;1990;Halli Galli Junior;own;80;cards/bell
500;Linx;rock-paper-scissors/tile placement/square grid;strict clockwise;;10;abstract;2;;1;3;1.87;-0.01;16;5.6;3;Fabrice Puleo;2024;;bga;3;tokens
510;Connect Four;pattern building/square grid;strict clockwise;fixed turns/sudden death;10;abstract;2;;1;2;1.85;-0.03;16;5;3;Ned Strongin/Howard Wexler;1974;;own;100;tokens
583;Munchkin;hand management/take that/variable player powers;strict clockwise;race;90;fantasy/dungeoncrawler;3-6 (4);;1;2;1.83;-0.13;13;5.9;3;Steve Jackson;2001;;Jannis;1;cards
499;Tranquility;communication limits/hand management/tile placement;strict clockwise;completion;15;abstract;1-4 (2);C;1;1;1.82;-0.08;3;6.9;3;James Emmerson;2020;;bga;3;
491;Memory;memory/set collection;strict clockwise;running out;30;abstract;2-4 (2);;1;2;1.81;-0.0;16;4.8;3;unknown;1959;;own;200;cards
523;Roll'n Bump;ladder climbing;strict clockwise;running out;20;abstract;2-4 (5);;1;2;1.79;-0.27;3;6.2;3;Louis-Nicolas Dozois;2011;;bga;1;cards/dice
486;Deception: Murder in Hong Kong;communication limits/deduction/events/finale ending/give a clue, get a clue/hidden roles/storytelling/variable player powers;simultaneous;fixed turns;20;spies;4-12 (8);T;2;5;1.78;0.01;16;7.4;3;Tobey Ho;2014;;Stefan, Aiman;12;cards/tokens
480;Lucky Numbers;tile placement;strict clockwise;completion;20;abstract;2-4 (2);;1;2;1.78;0.01;16;6.4;3;Michael Schacht;2012;;bga;12;player boards,tiles
508;Cabo;hand management/memory;stat based;overshooting;30;abstract;2-5 (3);;1;3;1.77;-0.02;16;7.1;3;Mandy Henning/Melissa Limes;2010;;own;40;cards
535;Tumblin' Monkeys;dexterity/physical removal;strict clockwise;running out;15;jungle;2-4 (2);;1;2;1.73;-0.06;13;5.5;3;Garrett J. Donner/Roger Ford/Craig V. McKee/Michael S. Steer;1999;;KoZ;3;monkey tower
519;Catan Dice Game;paper and pencil/set collection;strict clockwise;fixed turns;10;expansion;1-4 (2);;1;1;1.71;-0.03;16;5.7;3;Klaus Teuber;2007;;own;20;custom D6/writing sheet/pencils
481;Double Down;player elimination/take that;strict clockwise;player elimination;30;abstract;2-8 (5);;1;1;1.71;0.02;14;5.6;3;Thomas Pauli;1993;;Opa;10;cards
423;The Gang;predictive bid;simultaneous;fixed turns;20;poker/criminals;3-6 (5);C;1;2;1.69;0.16;9;7.6;2;John Cooper/Kory Heath;2024;;Stefan;3;
521;Tacta;area majority/connections/enclosure/layering/matching/tile placement/tug of war/variable set-up;;running out;20;abstract;2-6 (4);;1;3;1.68;-0.39;2;6.7;3;Jason Tremblay;2025;;bga;3;cards
501;Mega Jackpot;betting/bingo/push your luck;strict clockwise;;10;casino;2-4 (3);;1;1;1.58;0.0;15;5.4;3;Erwan Morin/Yann Morin;2024;;bga;1;spinners/cards
539;UNO;hand management/lose a turn/matching/take that;strict clockwise;race;10;abstract;2-8 (4);;1;2;1.56;-0.04;16;5.5;3;Merle Robbins;1971;Solo/Frantic;diverse;1000;cards
532;One Night Ultimate Werewolf;hidden roles/role playing/roles with asymmetric information/variable player powers/voting;strict clockwise;fixed turns;10;monster;4-10 (8);T;1;4;1.51;-0.03;16;7.1;3;Ted Alspach/Akihisa Okui;2014;;uni game night;12;cards/tokens
538;Diceathlon;paper and pencil;progressive;running out;30;abstract;2+ (2);;1;1;1.47;-0.15;4;5.2;3;Chris Heaney;2022;;bga;3;
484;The Game;communication limits/hand management;strict clockwise;condition;20;abstract;1-5 (3);C;1;3;1.46;0.03;16;6.7;2;Steffen Benndorf;1987;;own;15;cards
503;Nine Men's Morris;pattern building/point to point movement;strict clockwise;;10;abstract;2;;1;3;1.44;0.01;16;5.4;2;unknown;-1400;;diverse;20;board/tokens
513;Mango;0;0;0;0;0;0;0;0;0;1.42;0;1;0;0;0;0;0;0;0;0
514;Trellis;0;0;0;0;0;0;0;0;0;1.41;0;1;0;0;0;0;0;0;0;0
534;Dozito;chaining/grid movement/set collection;strict clockwise;fixed turns;10;abstract;2-4 (2);;1;2;1.4;-0.33;2;5.4;3;Alex Fortineau/Simon Moulard;2026;;bga;1;cards
518;Mooncake Master;0;0;0;0;0;0;0;0;0;1.34;0;1;0;0;0;0;0;0;0;0
515;Mafia de Cuba;deduction/hidden roles/player elimination/role playing/variable player powers;;player elimination;20;mafia/Cuba;6-12 (9);T;1;4;1.33;0.01;10;6.5;2;Philippe des Pallieres/Lois Lamy;2015;;Calvin;4;
528;That's Life!;map reduction/modular board/random move;strict clockwise;race;30;abstract;2-6 (4);;1;1;1.32;-0.07;3;6.5;2;Michael Kiesling/Wolfgang Kramer;2005;;bga;3;0
509;L.L.A.M.A.;hand management/ladder climbing/matching/push your luck;strict clockwise;overshooting;20;abstract;2-6 (4);;1;2;1.3;0.01;16;6.5;2;Reiner Knizia;2019;;bga;3;cards
542;Labyrinth;map deformation/network and route building/point to point movement/square grid/tile placement;strict clockwise;race;20;fairytales;2-4 (4);;1;2;1.23;-0.02;16;6.4;2;Max J. Kobbert;1986;;own;50;cards/tiles
497;Operation;dexterity/physical removal;strict clockwise;race;10;medical operation;2-5 (3);;1;1;1.22;0.24;3;4.2;2;Marvin Glass/John Spinello;1965;;diverse;8;
560;Robots Ate Our Pizza;closed drafting/communication limits/set collection;simultaneous;fixed turns;20;robots/abstract;3-6 (3);;1;2;1.21;-0.58;2;4.6;3;Steve Donoho;2021;;bga;1;cards
526;Whist 22;0;0;0;0;0;0;0;0;0;1.21;0;1;0;0;0;0;0;0;0;0
557;Traitors Aboard;alliances/hidden roles/player elimination/role playing/take that/traitor game;strict clockwise;player elimination/call;20;pirates;4-7 (7);T;1;4;1.2;-0.09;7;6.8;2;Jean-Xia Chou;2023;;uni game night;7;
553;I am done;hand management/race;strict clockwise;race;15;abstract;3-5 (4);;1;3;1.17;-0.21;3;6.6;2;Marco Teubner;2024;;Jannis;2;cards
544;Qwirkle;hand management/pattern building/square grid/tile placement;strict clockwise;running out;45;abstract;2-4 (3);;1;1;1.1;-0.01;16;6.8;2;Susan McKinley Ross;2006;;own;70;tiles
507;Elfer raus!;hand management;strict clockwise;race;30;abstract;2-6 (3);;1;1;1.1;0.03;14;5.2;2;unknown;1925;;Opa;10;cards
576;Malefiz;random move/static capture/track movement;strict clockwise;race;60;abstract;2-4 (4);;1;2;1.09;-0.15;6;5.4;2;Werner Schoppner;1960;;diverse;20;
496;Guess Who?;deduction/question and answers;strict clockwise;race;10;abstract;2;;1;2;1.09;0.05;13;4.8;2;Theo Coster/Ora Coster;1979;;diverse;10;sheets/pencils
559;Roll to the Top!;bingo/roll and write;simultaneous;race;15;abstract;2+ (2);;1;1;1.06;-0.05;10;6.8;2;Peter Joustra/Corne van Moorsel;2018;;bga;3;
552;Pentaquest;push your luck/re-rolling and locking;strict clockwise;race;10;abstract;1-8 (1);;1;1;1.05;-0.09;4;5.7;2;Lucio Gozzi;2022;;bga;1;dice/cards
516;Die Kutschfahrt zur Teufelsburg;bluffing/deduction/hidden roles;strict clockwise;active quitting;30;medieval;3-10 (8);T;2;4;1.03;0.02;15;6.6;2;Michael Palm/Lukas Zach;2006;;;2;cards
529;Sausage Sizzle!;paper and pencil/re-rolling and locking/roll and write(set collection;strict clockwise;completion;15;aliens;2-5 (2);;1;1;1.03;0.12;2;6.5;2;Inka Brand/Markus Brand;2012;;bga;3;
564;Do De Li Do;dexterity/player elimination;strict clockwise;player elimination;10;animals;2-6 (4);;1;1;1.02;-0.05;11;6.5;2;Jacques Zeimet;2016;;Mika;1;
550;Takenokolor;drawing/end game boni/multiple maps/open drafting/paper and pencil/race/variable set-up;simultaneous;race;25;abstract;2-4 (3);;1;1;1.01;-0.1;3;5.7;2;Antoine Bauza/Corentin Lebrat;2024;;bga;3;
558;Just Desserts;contracts/open drafting/pattern recognition/race/set collection;strict clockwise;race;25;desserts;2-5 (3);;1;1;1.01;-0.08;5;5.8;2;Andrew Looney;2015;;bga;3;0
541;The Mind;communication limits;strict clockwise;fixed turns;10;abstract;2-4 (4);C;1;2;0.99;-0.0;13;6.8;2;Wolfgang Warsch;2018;;;1;cards
536;Vizia;tile placement;strict clockwise;running out;20;abstract;2-4 (2);;1;2;0.99;0.04;2;5.8;2;Pierre Bourque;2011;;bga;2;
562;Human Punishment: Social Deduction 2.0;bluffing/hidden roles/take that/traitor game/variable player powers;strict clockwise;player elimination;60;cyberpunk;4-9 (6);T;2;4;0.95;-0.07;6;7.3;2;Stefan Godot;2018;;Thomas;2;cards/boards
530;Boxes;enclosure/paper and pencil;;condition;10;abstract;2;;1;3;0.94;0.02;14;4.7;2;Edouard Lucas;1889;;diverse;10;sheets/pencils
581;Color Flush;hand management;strict clockwise;race;20;abstract;3-6 (3);;1;3;0.93;-0.33;3;4.7;2;Vivien Roeltgen;2023;;;3;
567;Rummikub;set collection/tile placement;strict clockwise;running out;30;abstract;2-4 (2);;1;2;0.93;-0.03;16;6.5;2;Ephraim Hertzano;1977;;own;100;tiles
551;Pick Up Sticks;dexterity/physical removal/push your luck/set collection/take that;strict clockwise;condition;10;abstract;2-6 (3);;1;3;0.93;-0.01;16;4.3;2;unknown;1850;;diverse;40;sticks
549;Shut the Box;;strict clockwise;overshooting;10;abstract;2+ (2);;1;1;0.93;-0.01;8;5.2;2;unknown;1750;;diverse;60;
533;Nosferatu;hand management/hidden roles/push your luck/traitor game;strict clockwise;condition;;horror;5-8 (7);;2;5;0.93;0.01;16;6.6;2;Pierre Yves Lebeau;2013;;;5;cards
561;Scum: The Food Chain Game;ladder climbing;stat based;race;20;abstract;4-8 (5);;1;1;0.9;-0.28;2;5.7;2;unknown;1996;;diverse;30;standard card deck (32)
502;Mastermind;deduction/give a clue, get a clue;strict clockwise;condition;10;abstract;2;;1;1;0.85;0.05;16;5.6;1;Mordecai Meirowitz;1971;;own;35;board/tokens/screen
547;Fluxx;0;0;0;0;0;0;0;0;0;0.85;0;1;0;0;0;0;0;0;0;0
590;Ludo;random move/static capture/take that/track movement;strict clockwise;race;30;abstract;2-4 (4);;1;2;0.84;-0.05;15;4.5;2;unknown;1896;;own;400;board/meeple/D6
548;Ultimate Tic-Tac-Toe;0;0;0;0;0;0;0;0;0;0.84;0;1;0;0;0;0;0;0;0;0
587;Saboteur;hand management/hidden roles/network and route building/take that/traitor game;strict clockwise;fixed turns;45;fantasy/dwarfs;4-11 (8);T;2;4;0.82;-0.04;16;6.5;1;Frederic Moyersoen;2004;;own;20;cards
569;Kings in the Corner;hand management;strict clockwise;race;30;abstract;2-4 (2);;1;2;0.81;-0.05;8;5.2;1;unknown;1996;;bga;1;cards
586;Dragonology: The Game;pick-up and deliver/point to point movement/rock-paper-scissors/random move/set collection/trading;strict clockwise;race;60;fantasycreatures;2-6 (3);;1;3;0.81;-0.04;16;4.6;2;unknown;2006;;own;50;board/miniatures/cards/D12
543;Funny Bunny;random move;strict clockwise;race;15;animals;2-4 (4);;1;2;0.76;0.01;16;5.5;1;unknown;1999;;own;40;board/meeple
540;Skip-Bo;hand management;strict clockwise;race;15;abstract;2-6 (4);;1;1;0.74;0.02;16;5.6;1;Hazel Bowman;1967;;own;15;cards
527;Numbers Up;memory;solo;timer;10;abstract;1;S;1;1;0.67;0.04;15;5.1;1;unknown;1975;;Oma;10;clock/tokens
568;Skyjo;hand management;strict clockwise;condtition;25;abstract;2-8 (3);;1;1;0.66;-0.01;16;6.7;1;Alexander Bernhardt;2015;;own;30;cards
584;Monster Smash;player elimination;strict clockwise;player elimination;20;monster;2-4 (4);;1;3;0.64;-0.21;3;4.6;2;Feri Gonzalez;2024;;bga;2;
579;Nope!;hand management/player elimination;strict clockwise;player elimination;5;abstract;2-6 (3);;1;3;0.64;-0.02;16;5.8;1;unknown;2019;;own;30;cards
573;Kmakici Family's Greatest Teatime;set collection;strict clockwise;race;15;stuffed animals/abstract;2-5 (3);;1;1;0.63;-0.21;2;3.1;1;Yupica;0;0;0;0;0
563;Baby Dinosaur Rescue;random move;strict clockwise;race;15;dinosaurs;2-4 (2);C;1;1;0.62;-0.0;11;5;1;Douglas Beech;2019;;bga;1;
555;The Resistance;finale ending/hidden roles/memory/simultaneous action selection/traitor game/voting;progressive;condition/fixed turns;40;medieval/spies;5-10 (8);T;2;5;0.62;0.01;16;7.5;1;Don Eskridge;2012;The Resistance: Avalon;uni game night;5;cards/tokens
554;That's Not a Hat;bluffing/memory;strict clockwise;player elimination;15;abstract;4-8 (5);;1;4;0.62;0.04;4;7;1;Kasper Lapp;2023;;uni game night;2;
577;Ninety-Nine;hand management;strict clockwise;;20;abstract;3-6 (4);;1;2;0.6;-0.13;3;4.8;1;unknown;;;bga;3;cards
566;Pugs in Mugs;0;0;0;0;0;0;0;0;0;0.54;0;1;0;0;0;0;0;0;0;0
589;Trap the Cap;random move;strict clockwise;race;30;abstract;2-6 (4);;1;2;0.52;-0.06;7;5;1;C. A. N. Neves;1927;;own;10;
556;Tic-Tac-Toe;paper and pencil/pattern building/square grid;strict clockwise;condition;1;abstract;2;;1;2;0.51;0.01;16;2.7;1;unknown;-1300;;diverse;30;writing sheet/pen
570;Battleship;deduction/paper and pencil/player elimination/secret unit deployment;strict clockwise;player elimination;10;war;2;;1;2;0.5;-0.0;16;4.7;1;Clifford von Wickler;1931;;diverse;50;sheets/pencils
585;Clue;deduction/grid movement/memory/random move/square grid;strict clockwise;race;45;detektives;3-6 (4);;1;2;0.49;-0.02;16;5.7;1;Anthony E. Pratt;1949;;own;10;board/meeple/D6/cards
580;Exploding Kittens;hot potato/player elimination/push your luck/set collection/take that;strict clockwise;player elimination;10;cats;2-5 (4);;1;3;0.48;-0.01;16;6.1;1;Matthew Inman/Elan Lee/Shane Small;2015;;Sherwin;10;cards
592;Chromino;open drafting/tile placement;strict clockwise;race;30;abstract;1-8 (3);;1;1;0.43;-0.03;14;5.5;1;Louis Abraham;2001;;bga;4;tiles
575;Cards Against Humanity;hand management/player judge/simultaneous action selection;strict clockwise;variable;30;humour;4-10 (7);;1;5;0.37;0.01;3;5.7;1;Josh Dillon/Daniel Dranove/Eli Halpern/Ben Hantoot/David Munk/David Pinsof/Max Temkin/Eliot Weinstein;2009;;diverse;10;0
572;Monster Factory;tile placement;strict clockwise;running out;20;monster;2-6 (3);;1;1;0.37;0.07;2;5.8;1;Nina Paley/Donald X. Vaccarino;2012;;bga;2;tiles
565;The Game of Life;income/random move/track movement;strict clockwise;race;60;life;2-6 (2);;1;1;0.36;0.01;16;4.3;1;Reuben Klamer/Bill Markham;1960;;own;20;board/meeple/spinner/currency
571;Bloxo;tile placement;strict clockwise;running out;15;abstract;2-4 (2);;1;2;0.36;0.05;3;5.4;1;unknown;2023;;bga;5;
574;Werewolf;hidden roles/player elimination/traitor game;stat based;condtition/player elimination;30;horror;5+ (8);T;1;5;0.34;0.0;16;6.5;1;Dimitry Davidoff;1986;;diverse;100;cards
