Rank;Name;Central Mechanisms;Turn Order;Game End Condition;Duration;Theme;Player Amount;Cooperative;Complexity;Interactivity;Relative Rating;Change Rel. Rating;Rank Count;BGG Rating;My Rating;Author(s);Year Of Release;Similar Games;Played With;Play Count;Game Material
101;Camel Up;betting/end game boni/random move/track movement/variable set-up;strict clockwise;race;20;race;3-6 (6);;2;2;7.81;0.03;16;7;7;Steffen Bogen;2014;;bga;1;board/D3/meeple/tiles
141;Duel for Cardia;hand management/simultaneous action selection;simultaneous;race;15;fantasy;2;;2;4;7.79;-0.05;4;7.6;7;Faouzi Boughida/Mathieu Rivero;2025;;bga;10;
99;Stone Age;contracts/end game boni/set collection/worker placement;progressive;condition;90;stoneage;2-4 (4);;3;2;7.79;0.04;16;7.5;7;Bernd Brunnhofer;2008;;uni game night;8;board/cards/meeple/D6/resources
134;Kokeshi;open drafting/pattern building/square grid/track movement;strict clockwise;race;30;Japan/puppets;1-4 (2);;2;1;7.78;-0.01;3;7.1;7;Igor Knop/Andre Teruya;2024;;bga;3;
201;Paleo;action or event/memory/scenario/simultaneous action selection/sudden death ending/variable set-up;simultaneous;sudden death/condition;45;stoneage;1-4 (3);0;3;4;7.77;-0.07;16;7.7;7;Peter Rustemeyer;2020;;uni game night;6;boards/cards/resources
170;Hero Realms;deck, bag and pool building/hand management/once per game abilities/open drafting/player elimination/take that;strict clockwise;player elimination;20;fantasy;2-4 (2);;2;4;7.74;-0.06;10;7.5;7;Robert Dougherty/Darwin Kastle;2016;Star Realms;boardgame night;1;
169;Mindbug: First Contact;hand management/take that;strict clockwise;player elimination;20;sciencefiction/monsters;2;;2;4;7.74;-0.04;15;7.7;7;Skaff Elias/Richard Garfield;2022;;Linus;1;cards
139;Jaws;action points/area movement/card play conflict resolution/hidden movement/map deformation/map reduction/modular board/player elimination/secret unit deployment/variable player powers;strict clockwise;player elimination;60;Jaws;2-4 (4);1 vs. X;2;4;7.74;-0.02;3;7.1;7;Prospero Hall/Brian Kirk;2019;;Jannis;1;
113;Undergrove;area majority/area impulse/once per game abilities/re-rolling and locking;strict clockwise;running out;30;Japan;2-4 (4);;2;3;7.7;0.11;5;7.4;7;Elizabeth Hargrave/Mark Wootton;2017;;bga;10;
172;Imperial Settlers;closed drafting/contracts/end game boni/hand management/income/multi-use cards/open drafting/tableau building/take that/variable player powers;progressive;fixed turns;45;civilization;1-4 (2);;3;3;7.69;-0.28;3;7.3;7;Ignacy Trzewiczek;2014;51st State: Master Set;bga;3;0
112;Res Arcana;hand management/income/open drafting/score and reset/tableau building/take that;pass order;race;30;magic;2-4 (2);;4;1;7.69;0.03;16;7.6;7;Thomas Lehmann;2019;;bga;7;cards/tokens
160;Tiwanaku;deduction/exploration/grid movement/modular board;completion;fixed turns;45;fantasy;1-4 (2);(C);2;2;7.66;-0.16;3;7.2;7;Olivier Gregoire;2022;;bga;3;
147;Targi;end game boni/modular board/open drafting/set collection/square grid/tableau building/worker placement;progressive;fixed turns;60;oriental;2;;3;3;7.62;-0.0;16;7.6;7;Andreas Steiger;2012;;bga;3;
138;It's a Wonderful World;closed drafting/end game boni/hand management/income/set collection/simultaneous action selection/tableau building/variable player powers;simultaneous;fixed turns;45;sciencefiction;1-5 (4);;2;2;7.62;0.01;10;7.7;7;Frederic Guerard;2019;It's a Wonderful Kingdom;bga;5;
